TEST1,12,(-10.0, 16.4, 0.5),4
365,0.06740431,0.06743149,0.01759831,0.06741035,0.06739827
750,0.06740884,0.06739374,0.06957012,0.0118183,0.06740733
1090,0.06739676,0.02349009,0.06743149,0.06737259,0.02203716
1230,0.06848721,0.0671823,0.06715813,0.06676846,0.01021886
TEST2,48,(-10.0, 16.4, 0.5),4
365,0.06765049,0.02224256,0.06740733,0.06761122,0.02222595
750,0.02444009,0.06878626,0.02123517,0.06903093,0.06577467
1090,0.02461226,0.06740582,0.06739676,0.02339947,0.06740582
1230,0.0206386,0.06836487,0.06643468,0.0674028,0.02021268
TEST3,100,(-10.0, 16.4, 0.5),4
365,0.02841375,0.07130699,0.06348955,0.06858689,0.06621417
750,0.02502307,0.06740431,0.06739978,0.02254463,0.06774564
1090,0.06739072,0.06747227,0.06788912,0.06682888,0.06739827
1230,0.02447482,0.06739978,0.02252952,0.06763539,0.0680764
TEST4,200,(-10.0, 16.4, 0.5),4
365,0.06757951,0.06751909,0.06709016,0.0693768,0.06542277
750,0.06793594,0.06686059,0.06739374,0.06982385,0.06577467
1090,0.06739676,0.06881193,0.06597403,0.06739827,0.0674028
1230,0.06740733,0.06739072,0.02547315,0.06776377,0.06703579

